description,category
Indian Coffee House 8521.50 INR,RESTAURANTS
Zomato POS 1562,RESTAURANTS
OYO Rooms UPI 3097,TRAVEL
Doctor Visit POS 5258,HEALTH
MSEB Electricity ACH 3579,UTILITIES
OYO Rooms ACH 4165,TRAVEL
Dominos IN,RESTAURANTS
YouTube Premium #2393,SUBSCRIPTIONS
MakeMyTrip 5861.08 INR,TRAVEL
Mutual Fund Bangalore,INVESTMENT
Udemy ACH 4635,EDUCATION
More Supermarket NEFT 1790,GROCERIES
HDFC Payroll 7787.47,INCOME
Doctor Visit UPI 6513,HEALTH
HPCL Fuel 1675.06,FUEL
BigBasket 5583.46,GROCERIES
Paycheck +tax 9448.38,INCOME
Gaana -promo,ENTERTAINMENT
Indian Oil +tax 6856.53,FUEL
SBI Bank GPay txn 9066,BANKING
Indian Coffee House #9710,RESTAURANTS
Paycheck IN,INCOME
Uber -promo,TRANSPORT
NestAway +tax 9183.13,RENT
BookMyShow 2324.68 INR,ENTERTAINMENT
Airport Taxi order 158,TRANSPORT
Myntra.com order 9134,SHOPPING
Bharat Petroleum IN,FUEL
Paycheck #9915,INCOME
Airport Taxi POS 9130,TRANSPORT
Airtel Fiber NEFT 971,UTILITIES
Mahanagar Gas Mumbai,UTILITIES
Flpkart 7919.72,SHOPPING
Disney+ Hotstar Mumbai,ENTERTAINMENT
RedBus Mumbai,TRANSPORT
MakeMyTrip 1900.19,TRAVEL
Landlord +tax 2471.09,RENT
ICICI Payroll NEFT 1640,INCOME
Ajio online,SHOPPING
SBI Bank #6974,BANKING
RedBus IN,TRANSPORT
Tanishq Bangalore,SHOPPING
ICICI Payroll 3540.44,INCOME
Cult.fit IN,SUBSCRIPTIONS
Blinkit online,GROCERIES
Employer Inc -promo,INCOME
Amazon Web Services NEFT 8072,SUBSCRIPTIONS
Apollo Clinic Bangalore,HEALTH
Motilal Oswal POS 4315,INVESTMENT
Zomato GPay txn 8758,RESTAURANTS
Mahanagar Gas Bangalore,UTILITIES
SBI Bank order 636,BANKING
Hotel Booking 315.07,TRAVEL
Mahanagar Gas IN,UTILITIES
SIP Investment -promo,INVESTMENT
Apollo Clinic order 6812,HEALTH
Yatra.com ACH 9582,TRAVEL
Motilal Oswal Mumbai,INVESTMENT
Apollo Clinic NEFT 1637,HEALTH
Myntra GPay txn 5351,SHOPPING
JioFiber order 2759,UTILITIES
Salary Credit -promo,INCOME
Great Learning GPay txn 5632,EDUCATION
Air India order 9478,TRAVEL
Prime Music Bangalore,ENTERTAINMENT
Flipkart online,SHOPPING
Salary Credit +tax 128.76,INCOME
Motilal Oswal POS 1862,INVESTMENT
HDFC Payroll 4681.94,INCOME
Motilal Oswal #7058,INVESTMENT
HDFC Payroll UPI 8549,INCOME
Netflix +tax 9010.49,ENTERTAINMENT
Yatra.com UPI 8659,TRAVEL
Groww -promo,INVESTMENT
Sharekhan NEFT 6396,INVESTMENT
Netflix NEFT 8033,ENTERTAINMENT
ICICI Payroll IN,INCOME
Indian Oil online,FUEL
Reliance Fuel online,FUEL
HPCL Fuel online,FUEL
Bharat Petroleum online,FUEL
Pharmeasy 9877.30 INR,HEALTH
Groww -promo,INVESTMENT
Myntra POS 4822,SHOPPING
Doctor Visit IN,HEALTH
BESCOM Mumbai,UTILITIES
HPCL Fuel #8342,FUEL
Amazon Prime Video POS 5744,ENTERTAINMENT
IndiGo -promo,TRAVEL
MakeMyTrip online,TRAVEL
Ajio NEFT 3853,SHOPPING
Sony LIV +tax 6228.57,ENTERTAINMENT
Paycheck UPI 5174,INCOME
Gaana order 6462,ENTERTAINMENT
Employer Inc UPI 6051,INCOME
India Oil +tax 7203.52,FUEL
Canva Pro IN,SUBSCRIPTIONS
Barbeque Nation UPI 7909,RESTAURANTS
Sony LIV POS 2838,ENTERTAINMENT
BWSSB Water online,UTILITIES
Rent Payment POS 5370,RENT
Unacademy +tax 6325.65,EDUCATION
Bharat Petroleum 8733.67,FUEL
Indian Coffee House +tax 9033.68,RESTAURANTS
Doctor Visit online,HEALTH
BESCOM 5720.07,UTILITIES
Fortis Hospital ACH 8959,HEALTH
GoFirst Bangalore,TRAVEL
Apartment Dues #3406,RENT
BigBasket order 6089,GROCERIES
IRCTC IN,TRANSPORT
SBI Bank Bangalore,BANKING
Reliance Fuel #5286,FUEL
IndianOil +tax 3324.86,FUEL
Indian Oil POS 6702,FUEL
Air India +tax 6447.28,TRAVEL
Reliance Fresh POS 3873,GROCERIES
Reliance Fuel IN,FUEL
IRCTC order 2165,TRANSPORT
Rent Payment -promo,RENT
Blinkit POS 8116,GROCERIES
GoFirst ACH 1066,TRAVEL
YouTube Premium Mumbai,SUBSCRIPTIONS
Amazon Prime Video order 5466,ENTERTAINMENT
Airtel Fiber GPay txn 8681,UTILITIES
Airport Taxi ACH 5873,TRANSPORT
Dropbox plan GPay txn 6074,SUBSCRIPTIONS
Apartment Dues ACH 754,RENT
HDFC Securities Bangalore,INVESTMENT
Yatra.com 352.56,TRAVEL
Coursera order 4453,EDUCATION
Amazon Web Services Bangalore,SUBSCRIPTIONS
BWSSB Water #3986,UTILITIES
School Payment POS 6083,EDUCATION
1mg Pharmacy ACH 7027,HEALTH
Bharat Petroleum NEFT 6386,FUEL
NoBroker Rent GPay txn 4690,RENT
Amazon India GPay txn 6963,SHOPPING
HPCL Fuel POS 8693,FUEL
NestAway order 7874,RENT
Paycheck ACH 5832,INCOME
Kotak Bank order 5919,BANKING
AWS Subscription POS 3861,SUBSCRIPTIONS
Reliance Fresh order 2121,GROCERIES
Prime Music ACH 6389,ENTERTAINMENT
HPCL Fuel IN,FUEL
Apartment Dues POS 6774,RENT
Amazon India order 5991,SHOPPING
Airtel Fiber -promo,UTILITIES
OLA IN,TRANSPORT
Fortis Hospital order 803,HEALTH
SBI Bank +tax 8455.43,BANKING
Indian Oil Mumbai,FUEL
HPCL Fuel +tax 7154.20,FUEL
YouTube Premium IN,SUBSCRIPTIONS
Spotify online,ENTERTAINMENT
BigBasket -promo,GROCERIES
Apartment Dues -promo,RENT
Indian Coffee House Mumbai,RESTAURANTS
Reliance Fuel order 8873,FUEL
Rent Payment UPI 7866,RENT
Yatra.com order 4123,TRAVEL
Bharat Petroleum POS 8818,FUEL
RedBus NEFT 9398,TRANSPORT
Zepto #3362,GROCERIES
HDFC Payroll UPI 3129,INCOME
BESCOM #1057,UTILITIES
NestAway Bangalore,RENT
OYO Rooms POS 8610,TRAVEL
Dominos -promo,RESTAURANTS
Cult.fit -promo,SUBSCRIPTIONS
Air India 9778.46,TRAVEL
AWS Subscription 3953.39,SUBSCRIPTIONS
Motilal Oswal GPay txn 4364,INVESTMENT
MakeMyTrip UPI 5063,TRAVEL
Blinkit 3243.30,GROCERIES
AWS Subscription IN,SUBSCRIPTIONS
BookMyShow UPI 314,ENTERTAINMENT
Salary Credit GPay txn 6279,INCOME
Haldirams -promo,RESTAURANTS
ICICI Direct UPI 8073,INVESTMENT
ICICI Payroll 1620.50 INR,INCOME
Croma +tax 2236.35,SHOPPING
Apartment Dues ACH 3010,RENT
Pharmeasy IN,HEALTH
Groww Mumbai,INVESTMENT
1mg Pharmacy 2843.28 INR,HEALTH
HPCL Fuel GPay txn 1480,FUEL
BigBasket order 1096,GROCERIES
HDFC Bank Bangalore,BANKING
College Fee #6302,EDUCATION
Amzn India ACH 6450,SHOPPING
Axis Bank online,BANKING
Disney+ Hotstar POS 9873,ENTERTAINMENT
GoFirst 2203.54 INR,TRAVEL
Rapido GPay txn 9572,TRANSPORT
College Fee order 9108,EDUCATION
Myntra IN,SHOPPING
Ola 3118.93,TRANSPORT
HDFC Bank IN,BANKING
Nature's Basket online,GROCERIES
MakeMyTrip GPay txn 4650,TRAVEL
Mahanagar Gas order 6455,UTILITIES
Yatra.com UPI 1717,TRAVEL
YouTube Premium ACH 2567,SUBSCRIPTIONS
Mahanagar Gas +tax 1070.46,UTILITIES
Ajio POS 6284,SHOPPING
Myntra ACH 4977,SHOPPING
NoBroker Rent POS 1604,RENT
Udemy Bangalore,EDUCATION
Salary Credit #4099,INCOME
School Payment GPay txn 3012,EDUCATION
Landlord UPI 5896,RENT
Zomato IN,RESTAURANTS
JioFiber GPay txn 9122,UTILITIES
Rapido GPay txn 5157,TRANSPORT
HDFC IN,BANKING
HPCL Fuel IN,FUEL
Reliance Fuel 6193.40,FUEL
Swiggy -promo,RESTAURANTS
Nykaa Bangalore,SHOPPING
Rapido Mumbai,TRANSPORT
ICICI Bank IN,BANKING
Swiggy UPI 2611,RESTAURANTS
Byju's UPI 4935,EDUCATION
Byju's order 3251,EDUCATION
Coursera Mumbai,EDUCATION
Hotel Booking NEFT 7627,TRAVEL
Tanishq IN,SHOPPING
GoFirst -promo,TRAVEL
Disney+ Hotstar order 1606,ENTERTAINMENT
Angel One Mumbai,INVESTMENT
1mg Pharmacy -promo,HEALTH
IRCTC Mumbai,TRANSPORT
Landlord order 9343,RENT
School Payment GPay txn 6776,EDUCATION
Fortis Hospital Bangalore,HEALTH
Zerodha 3216.60 INR,INVESTMENT
Ola GPay txn 1937,TRANSPORT
Hotel Booking NEFT 205,TRAVEL
Indian Oil 2644.52,FUEL
Ajio -promo,SHOPPING
Airtel Fiber Bangalore,UTILITIES
Barbeque Nation Bangalore,RESTAURANTS
Nature's Basket +tax 930.13,GROCERIES
YouTube Premium NEFT 7820,SUBSCRIPTIONS
Employer Inc Bangalore,INCOME
IndiGo online,TRAVEL
Ola Cabs GPay txn 7297,TRANSPORT
Pharmeasy IN,HEALTH
HPCL Fuel Bangalore,FUEL
Motilal Oswal POS 1874,INVESTMENT
HDFC Securities GPay txn 2161,INVESTMENT
Kotak Bank online,BANKING
Netflix order 5502,ENTERTAINMENT
AWS Subscription POS 587,SUBSCRIPTIONS
HPCL Fuel Mumbai,FUEL
Unacademy 4797.53,EDUCATION
Spotify IN,ENTERTAINMENT
Haldirams 283.62,RESTAURANTS
Blinkit ACH 7938,GROCERIES
Vistara IN,TRAVEL
Udemy IN,EDUCATION
Airtel Fiber Bangalore,UTILITIES
Mutual Fund ACH 5606,INVESTMENT
Ola Cabs order 8801,TRANSPORT
Axis Bank ACH 8575,BANKING
UpGrad IN,EDUCATION
Myntra order 7834,SHOPPING
More Supermarket -promo,GROCERIES
Pharmeasy ACH 8392,HEALTH
HDFC Payroll -promo,INCOME
Fortis Hospital GPay txn 8735,HEALTH
BigBasket -promo,GROCERIES
Grocery Market 1757.54,GROCERIES
Great Learning +tax 1160.11,EDUCATION
Axis Bank Mumbai,BANKING
Uber Bangalore,TRANSPORT
Rapido IN,TRANSPORT
BESCOM UPI 6703,UTILITIES
Myntra order 5008,SHOPPING
Upstox 1713.79,INVESTMENT
Cafe Coffee Day POS 7860,RESTAURANTS
Croma order 3203,SHOPPING
Disney+ Hotstar +tax 6663.29,ENTERTAINMENT
NestAway online,RENT
1mg Pharmacy +tax 200.44,HEALTH
GoFirst +tax 8242.51,TRAVEL
MakeMyTrip IN,TRAVEL
BWSSB Water IN,UTILITIES
HPCL Fuel #4333,FUEL
BWSSB Water 4804.91 INR,UTILITIES
BigBasket POS 448,GROCERIES
Haldirams POS 4788,RESTAURANTS
Zepto Mumbai,GROCERIES
Airport Taxi 137.35 INR,TRANSPORT
Nature's Basket order 1808,GROCERIES
Dominos order 9655,RESTAURANTS
Mahanagar Gas #191,UTILITIES
NoBroker Rent ACH 5133,RENT
Ajio Mumbai,SHOPPING
Dominos 5805.55,RESTAURANTS
Reliance Fuel UPI 8545,FUEL
Apollo Clinic order 6103,HEALTH
YouTube Premium Bangalore,SUBSCRIPTIONS
Doctor Visit #2274,HEALTH
Nature's Basket 2670.56,GROCERIES
BWSSB Water Bangalore,UTILITIES
Indian Oil Mumbai,FUEL
Bharat Petroleum IN,FUEL
Mutual Fund order 4599,INVESTMENT
Amazon.in 9123.50,SHOPPING
Reliance Fresh online,GROCERIES
Zepto ACH 1964,GROCERIES
Tanishq online,SHOPPING
Barbeque Nation POS 5725,RESTAURANTS
Ola Cabs -promo,TRANSPORT
Tanishq #743,SHOPPING
Reliance Fuel POS 975,FUEL
Apollo Clinic Mumbai,HEALTH
UpGrad GPay txn 7651,EDUCATION
Doctor Visit -promo,HEALTH
Airport Taxi ACH 8865,TRANSPORT
Dropbox plan UPI 3927,SUBSCRIPTIONS
ICICI Direct online,INVESTMENT
MSEB Electricity GPay txn 4877,UTILITIES
Fortis Hospital online,HEALTH
Spotify order 5312,ENTERTAINMENT
JioFiber order 1319,UTILITIES
Ola GPay txn 6731,TRANSPORT
Blinkit UPI 2404,GROCERIES
Haldirams NEFT 8155,RESTAURANTS
Grocery Market UPI 8821,GROCERIES
Employer Inc #1298,INCOME
Nykaa #5974,SHOPPING
Axis Bank +tax 8133.92,BANKING
Nature's Basket NEFT 5555,GROCERIES
BWSSB Water Bangalore,UTILITIES
SBI Bank POS 5095,BANKING
IndiGo #9230,TRAVEL
Tanishq 8738.93,SHOPPING
UpGrad #9044,EDUCATION
YouTube Premium NEFT 9320,SUBSCRIPTIONS
SBI Bank 1166.05 INR,BANKING
Uber Mumbai,TRANSPORT
Unacademy -promo,EDUCATION
Indian Coffee House #8635,RESTAURANTS
NestAway IN,RENT
Ajio GPay txn 2413,SHOPPING
School Payment IN,EDUCATION
Airtel Fiber -promo,UTILITIES
UpGrad IN,EDUCATION
OYO Rooms 3823.50,TRAVEL
Paycheck online,INCOME
Apartment Dues 7358.33 INR,RENT
Croma order 3320,SHOPPING
AWS Subscription NEFT 1178,SUBSCRIPTIONS
ICICI Bank ACH 6594,BANKING
Motilal Oswal UPI 3276,INVESTMENT
Upstox +tax 3660.11,INVESTMENT
Fortis Hospital NEFT 6663,HEALTH
Spotify order 5565,ENTERTAINMENT
Netflix 2652.14,ENTERTAINMENT
Unacademy online,EDUCATION
Paycheck UPI 3853,INCOME
Paycheck #4298,INCOME
Ajio NEFT 6405,SHOPPING
Airtel Fiber -promo,UTILITIES
More Supermarket GPay txn 9100,GROCERIES
Reliance Fresh order 5686,GROCERIES
Reliance Fuel 749.19 INR,FUEL
OYO Rooms POS 2879,TRAVEL
Cafe Coffee Day +tax 1125.16,RESTAURANTS
IndianOil UPI 2627,FUEL
Airtel Fiber +tax 3983.90,UTILITIES
Headspace ACH 7337,SUBSCRIPTIONS
Angel One POS 6752,INVESTMENT
ICICI Bank IN,BANKING
Airport Taxi ACH 7226,TRANSPORT
Ajio 6925.59 INR,SHOPPING
1mg Pharmacy #5250,HEALTH
Blinkit #4839,GROCERIES
Zomato GPay txn 1177,RESTAURANTS
Reliance Fuel online,FUEL
IndiGo NEFT 8121,TRAVEL
Dropbox plan order 6259,SUBSCRIPTIONS
Indian Coffee House POS 1447,RESTAURANTS
Axis Bank -promo,BANKING
BESCOM IN,UTILITIES
Airport Taxi online,TRANSPORT
Dropbox plan 3208.90,SUBSCRIPTIONS
Amazon Prime Video POS 6809,ENTERTAINMENT
Employer Inc order 3537,INCOME
Pharmeasy online,HEALTH
Bharat Petroleum NEFT 5889,FUEL
Pharmeasy 8704.76 INR,HEALTH
Apartment Dues POS 3508,RENT
Apollo Clinic 59.54,HEALTH
Indian Coffee House IN,RESTAURANTS
Upstox Bangalore,INVESTMENT
ICICI Bank UPI 5752,BANKING
Landlord -promo,RENT
Vistara +tax 202.10,TRAVEL
SBI Bank +tax 3824.11,BANKING
Pharmeasy +tax 9660.13,HEALTH
ICICI Payroll POS 7561,INCOME
Vistara NEFT 9422,TRAVEL
UpGrad NEFT 4008,EDUCATION
Unacademy UPI 4420,EDUCATION
Airtel Fiber Mumbai,UTILITIES
Ajio #5809,SHOPPING
Pharmeasy ACH 1613,HEALTH
Employer Inc #3097,INCOME
Zomato 8411.79,RESTAURANTS
HDFC Bank IN,BANKING
UpGrad Mumbai,EDUCATION
Great Learning POS 2870,EDUCATION
NoBroker Rent Mumbai,RENT
Cafe Coffee Day UPI 8080,RESTAURANTS
Nature's Basket Bangalore,GROCERIES
ICICI Direct Mumbai,INVESTMENT
Myntra online,SHOPPING
Amzn India order 4768,SHOPPING
Sony LIV GPay txn 3970,ENTERTAINMENT
AWS Subscription +tax 6571.61,SUBSCRIPTIONS
Headspace 4357.52 INR,SUBSCRIPTIONS
Mahanagar Gas UPI 3030,UTILITIES
Spotify -promo,ENTERTAINMENT
Tanishq #9438,SHOPPING
Udemy Bangalore,EDUCATION
OYO Rooms IN,TRAVEL
Disney+ Hotstar order 817,ENTERTAINMENT
Flipkart online,SHOPPING
GoFirst UPI 4367,TRAVEL
Paycheck GPay txn 8628,INCOME
SIP Investment 997.75 INR,INVESTMENT
Grocery Market 953.81 INR,GROCERIES
Mahanagar Gas 3666.39,UTILITIES
Cafe Coffee Day online,RESTAURANTS
ICICI Bank ACH 5987,BANKING
Vistara order 7445,TRAVEL
HPCL Fuel online,FUEL
OYO Rooms IN,TRAVEL
Nykaa POS 7832,SHOPPING
Mutual Fund IN,INVESTMENT
1mg Pharmacy Mumbai,HEALTH
Doctor Visit NEFT 1969,HEALTH
Barbeque Nation IN,RESTAURANTS
Zepto NEFT 1415,GROCERIES
Reliance Fuel NEFT 3865,FUEL
Unacademy #3715,EDUCATION
IRCTC 3884.53,TRANSPORT
Ola Mumbai,TRANSPORT
BESCOM Mumbai,UTILITIES
School Payment #3452,EDUCATION
Nature's Basket 7058.74,GROCERIES
Kotak Bank Bangalore,BANKING
Rent Payment order 6790,RENT
Indian Coffee House Mumbai,RESTAURANTS
Tanishq Bangalore,SHOPPING
Coursera order 9091,EDUCATION
Motilal Oswal ACH 7961,INVESTMENT
Udemy ACH 4574,EDUCATION
Tanishq order 7722,SHOPPING
Rapido order 7550,TRANSPORT
Swiggy +tax 7424.68,RESTAURANTS
Great Learning IN,EDUCATION
Amazon India #6863,SHOPPING
Croma NEFT 9820,SHOPPING
Air India 8591.50,TRAVEL
Salary Credit 3859.84,INCOME
Dominos online,RESTAURANTS
Bharat Petroleum 6265.61,FUEL
Amazon Prime Video Mumbai,ENTERTAINMENT
ICICI Bank GPay txn 340,BANKING
Apartment Dues Bangalore,RENT
OYO Rooms GPay txn 144,TRAVEL
SBI Bank ACH 5282,BANKING
1mg Pharmacy +tax 6369.63,HEALTH
RedBus 9372.48,TRANSPORT
BWSSB Water Mumbai,UTILITIES
Myntr +tax 3607.64,SHOPPING
NestAway -promo,RENT
UpGrad GPay txn 6911,EDUCATION
Nykaa order 4650,SHOPPING
Spotify POS 8184,ENTERTAINMENT
Kotak Bank ACH 9686,BANKING
Disney+ Hotstar online,ENTERTAINMENT
School Payment -promo,EDUCATION
Reliance Fuel Mumbai,FUEL
Cult.fit -promo,SUBSCRIPTIONS
Unacademy Bangalore,EDUCATION
Rent Payment Bangalore,RENT
Yatra.com POS 3064,TRAVEL
SIP Investment Bangalore,INVESTMENT
Rapido #8969,TRANSPORT
Landlord Bangalore,RENT
Headspace GPay txn 7254,SUBSCRIPTIONS
AWS Subscription -promo,SUBSCRIPTIONS
Vistara ACH 5387,TRAVEL
Kotak Bank #1416,BANKING
Apartment Dues UPI 7417,RENT
Paycheck Mumbai,INCOME
BESCOM 2004.92,UTILITIES
Coursera online,EDUCATION
IRCTC order 5872,TRANSPORT
IRCTC UPI 8256,TRANSPORT
Groww NEFT 1150,INVESTMENT
Reliance Fuel 2469.09,FUEL
HDFC Payroll IN,INCOME
Grocery Market Bangalore,GROCERIES
1mg Pharmacy 8753.66 INR,HEALTH
Axis Bank 3040.39 INR,BANKING
SBI Bank ACH 6238,BANKING
Headspace Bangalore,SUBSCRIPTIONS
Flipkart Mumbai,SHOPPING
Reliance Fuel 1903.44 INR,FUEL
Fortis Hospital Bangalore,HEALTH
Reliance Fresh 2016.49 INR,GROCERIES
Vistara 1198.05 INR,TRAVEL
School Payment -promo,EDUCATION
Salary Credit #3459,INCOME
GoFirst 2020.69,TRAVEL
Uber 5572.49,TRANSPORT
Ajio POS 8495,SHOPPING
Yatra.com order 5568,TRAVEL
Bharat Petroleum NEFT 5761,FUEL
Coursera IN,EDUCATION
Barbeque Nation +tax 4272.15,RESTAURANTS
Yatra.com GPay txn 3874,TRAVEL
Unacademy GPay txn 5334,EDUCATION
Spotify 6219.92,ENTERTAINMENT
Reliance Fresh online,GROCERIES
Reliance Fresh Bangalore,GROCERIES
MakeMyTrip order 827,TRAVEL
Byju's Bangalore,EDUCATION
Indian Oil POS 809,FUEL
BESCOM order 1828,UTILITIES
Great Learning 3418.06,EDUCATION
Barbeque Nation 2255.36,RESTAURANTS
Reliance Fuel IN,FUEL
BWSSB Water NEFT 3706,UTILITIES
Flipkart UPI 7816,SHOPPING
Apollo Clinic online,HEALTH
Uber India order 546,TRANSPORT
UpGrad 6480.11,EDUCATION
Rent Payment #7648,RENT
Paycheck 4526.73 INR,INCOME
HDFC Securities NEFT 5255,INVESTMENT
HPCL Fuel NEFT 4388,FUEL
Amazon Prime Video Bangalore,ENTERTAINMENT
MakeMyTrip NEFT 5124,TRAVEL
HDFC Payroll order 3815,INCOME
OYO Rooms NEFT 2178,TRAVEL
HDFC Bank Mumbai,BANKING
Gaana ACH 8606,ENTERTAINMENT
GoFirst 2115.94,TRAVEL
Fortis Hospital ACH 3695,HEALTH
Paycheck IN,INCOME
Croma 400.97,SHOPPING
RedBus GPay txn 289,TRANSPORT
NestAway online,RENT
ICICI Payroll NEFT 1402,INCOME
Fortis Hospital -promo,HEALTH
Netflix UPI 2334,ENTERTAINMENT
Rent Payment ACH 4905,RENT
Kotak Bank NEFT 4969,BANKING
NoBroker Rent 9776.49 INR,RENT
Sony LIV Mumbai,ENTERTAINMENT
College Fee 9769.85,EDUCATION
Groww POS 495,INVESTMENT
ICICI Direct GPay txn 8259,INVESTMENT
Pharmeasy ACH 9822,HEALTH
Rent Payment Bangalore,RENT
Cafe Coffee Day GPay txn 3612,RESTAURANTS
Unacademy order 6230,EDUCATION
Zmt NEFT 9180,RESTAURANTS
Employer Inc ACH 3932,INCOME
Fortis Hospital order 9080,HEALTH
YouTube Premium GPay txn 7686,SUBSCRIPTIONS
BigBasket Bangalore,GROCERIES
Byju's 1179.45 INR,EDUCATION
ICICI Bank ACH 5701,BANKING
YouTube Premium -promo,SUBSCRIPTIONS
Vistara Mumbai,TRAVEL
Myntra #1410,SHOPPING
SBI Bank Mumbai,BANKING
Uber #7417,TRANSPORT
Pharmeasy Bangalore,HEALTH
Croma UPI 7387,SHOPPING
BESCOM NEFT 7350,UTILITIES
Canva Pro UPI 5936,SUBSCRIPTIONS
Axis Bank GPay txn 2242,BANKING
Udemy UPI 6782,EDUCATION
OYO Rooms NEFT 8202,TRAVEL
Croma GPay txn 7466,SHOPPING
Fortis Hospital UPI 3480,HEALTH
SBI Bank #4821,BANKING
HDFC Securities online,INVESTMENT
Bharat Petroleum online,FUEL
Apartment Dues 9527.80,RENT
India Oil order 4094,FUEL
Udemy +tax 8255.91,EDUCATION
UpGrad ACH 652,EDUCATION
Ola ACH 1706,TRANSPORT
1mg Pharmacy UPI 3971,HEALTH
Croma 186.91 INR,SHOPPING
Ajio 7773.53 INR,SHOPPING
IndiGo 6895.76,TRAVEL
Sony LIV Mumbai,ENTERTAINMENT
Cafe Coffee Day 8482.25 INR,RESTAURANTS
Hotel Booking ACH 7815,TRAVEL
MakeMyTrip 8493.54 INR,TRAVEL
Bharat Petroleum Mumbai,FUEL
UpGrad order 8789,EDUCATION
Paycheck -promo,INCOME
Reliance Fuel NEFT 8274,FUEL
Gaana Mumbai,ENTERTAINMENT
Rapido #6257,TRANSPORT
Dropbox plan ACH 4436,SUBSCRIPTIONS
Paycheck ACH 5816,INCOME
Airtel Fiber -promo,UTILITIES
SBI Bank UPI 9139,BANKING
Canva Pro +tax 5337.04,SUBSCRIPTIONS
Amazon Web Services IN,SUBSCRIPTIONS
Tanishq -promo,SHOPPING
YouTube Premium IN,SUBSCRIPTIONS
HPCL Fuel UPI 2743,FUEL
Canva Pro NEFT 5215,SUBSCRIPTIONS
MSEB Electricity GPay txn 9500,UTILITIES
Croma 175.14,SHOPPING
Reliance Fuel GPay txn 5838,FUEL
HPCL Fuel 5993.87 INR,FUEL
Reliance Fuel UPI 2630,FUEL
IndiGo 7216.38 INR,TRAVEL
1mg Pharmacy POS 3929,HEALTH
Nature's Basket NEFT 1923,GROCERIES
Reliance Fuel ACH 4373,FUEL
OYO Rooms GPay txn 4891,TRAVEL
Sony LIV UPI 6869,ENTERTAINMENT
Landlord #4333,RENT
Headspace Mumbai,SUBSCRIPTIONS
HPCL Fuel -promo,FUEL
Blinkit 6663.86,GROCERIES
Grocery Market Mumbai,GROCERIES
Upstox ACH 1461,INVESTMENT
Angel One 5665.25,INVESTMENT
AWS Subscription UPI 3678,SUBSCRIPTIONS
BESCOM GPay txn 7260,UTILITIES
Nykaa UPI 945,SHOPPING
Dropbox plan UPI 9853,SUBSCRIPTIONS
BookMyShow GPay txn 5573,ENTERTAINMENT
SIP Investment IN,INVESTMENT
Unacademy POS 7900,EDUCATION
PVR Cinemas #4953,ENTERTAINMENT
Apollo Clinic POS 8040,HEALTH
Indian Oil online,FUEL
Prime Music 1428.61 INR,ENTERTAINMENT
Flpkart UPI 575,SHOPPING
Udemy online,EDUCATION
Ajio NEFT 4299,SHOPPING
Amazon Prime Video +tax 4111.22,ENTERTAINMENT
Groww UPI 7471,INVESTMENT
Paycheck 5356.45 INR,INCOME
BWSSB Water UPI 8826,UTILITIES
Axis Bank POS 4733,BANKING
BESCOM order 2662,UTILITIES
Mahanagar Gas order 1832,UTILITIES
Kotak Bank #3703,BANKING
Landlord online,RENT
Amazon Prime Video online,ENTERTAINMENT
Air India IN,TRAVEL
Mutual Fund GPay txn 2492,INVESTMENT
UpGrad NEFT 9860,EDUCATION
OYO Rooms #8265,TRAVEL
Gaana online,ENTERTAINMENT
Amazon Web Services Bangalore,SUBSCRIPTIONS
Headspace #3167,SUBSCRIPTIONS
BookMyShow Bangalore,ENTERTAINMENT
BWSSB Water Bangalore,UTILITIES
Employer Inc online,INCOME
Zepto order 2335,GROCERIES
Amazon Prime Video ACH 435,ENTERTAINMENT
Prime Music order 3403,ENTERTAINMENT
1mg Pharmacy +tax 6189.99,HEALTH
HDFC Payroll Mumbai,INCOME
Dominos GPay txn 7719,RESTAURANTS
Rent Payment 4056.91,RENT
Angel One GPay txn 3037,INVESTMENT
Employer Inc POS 632,INCOME
BESCOM 2557.01,UTILITIES
ICICI Direct NEFT 5257,INVESTMENT
HPCL Fuel 1580.66,FUEL
BESCOM 4801.74 INR,UTILITIES
Sharekhan -promo,INVESTMENT
Rapido online,TRANSPORT
Mahanagar Gas #7086,UTILITIES
Hotel Booking 468.62,TRAVEL
YouTube Premium POS 6192,SUBSCRIPTIONS
College Fee +tax 5820.69,EDUCATION
Haldirams NEFT 4306,RESTAURANTS
JioFiber Bangalore,UTILITIES
Bharat Petroleum #5822,FUEL
Kotak Bank 9831.18,BANKING
BWSSB Water Bangalore,UTILITIES
Axis Bank ACH 5743,BANKING
HPCL Fuel 451.02 INR,FUEL
NoBroker Rent IN,RENT
Airport Taxi GPay txn 573,TRANSPORT
Ola online,TRANSPORT
Reliance Fuel POS 2796,FUEL
Reliance Fuel #1920,FUEL
Paycheck online,INCOME
Barbeque Nation #4692,RESTAURANTS
HPCL Fuel Bangalore,FUEL
Hotel Booking 6760.17,TRAVEL
Disney+ Hotstar -promo,ENTERTAINMENT
Gaana 1820.62 INR,ENTERTAINMENT
Unacademy 8147.50 INR,EDUCATION
OYO Rooms #475,TRAVEL
Mahanagar Gas +tax 8402.29,UTILITIES
AWS Subscription order 2094,SUBSCRIPTIONS
Dominos ACH 2658,RESTAURANTS
BookMyShow +tax 2880.09,ENTERTAINMENT
Employer Inc +tax 7562.98,INCOME
Mahanagar Gas UPI 5939,UTILITIES
MSEB Electricity IN,UTILITIES
